seed,family,policy,layer,collision,bufferViolation,minGap,stopTime,stopped,brakeTime,finalSpeed
27267,dust,baseline,nominal-model,false,false,8.419129445413489,14.750000000000075,true,9.700000000000003,0
27267,dust,baseline,extended-model,true,true,-0.18813952704806525,14.050000000000065,false,10.700000000000017,3.9627399194281256
27267,dust,guarded,nominal-model,false,false,20.956673265233803,22.500000000000185,true,19.95000000000015,0
27267,dust,guarded,extended-model,false,false,21.00286785277342,22.500000000000185,true,19.95000000000015,0
27267,dust,no-speed-cap,nominal-model,false,false,58.82624625082161,10.550000000000015,true,5.4999999999999885,0
27267,dust,no-speed-cap,extended-model,true,true,-0.18813952704806525,14.050000000000065,false,10.700000000000017,3.9627399194281256
27267,dust,no-brake-bound,nominal-model,false,false,8.056673265489394,24.650000000000215,true,22.10000000000018,0
27267,dust,no-brake-bound,extended-model,false,false,8.102867853025828,24.650000000000215,true,22.10000000000018,0
27268,dust,baseline,nominal-model,false,false,8.339541408922628,14.200000000000067,true,9.45,0
27268,dust,baseline,extended-model,false,false,9.700138760520588,13.950000000000063,true,9.45,0
27268,dust,guarded,nominal-model,false,false,18.16544575426974,22.05000000000018,true,19.650000000000144,0
27268,dust,guarded,extended-model,false,false,18.727302848819647,21.900000000000176,true,19.650000000000144,0
27268,dust,no-speed-cap,nominal-model,false,false,49.141097772538046,10.800000000000018,true,6.0499999999999865,0
27268,dust,no-speed-cap,extended-model,false,false,15.700157734116999,13.450000000000056,true,8.949999999999992,0
27268,dust,no-brake-bound,nominal-model,false,false,8.265445754635834,23.700000000000202,true,21.300000000000168,0
27268,dust,no-brake-bound,extended-model,false,false,8.527302849137413,23.6000000000002,true,21.35000000000017,0
27269,dust,baseline,nominal-model,false,false,8.299122885728025,15.10000000000008,true,9.950000000000006,0
27269,dust,baseline,extended-model,true,true,-0.14115148866477512,13.300000000000054,false,12.35000000000004,9.862933831382472
27269,dust,guarded,nominal-model,false,false,21.99120738960238,22.90000000000019,true,20.300000000000153,0
27269,dust,guarded,extended-model,false,false,14.288797827026087,24.20000000000021,true,21.50000000000017,0
27269,dust,no-speed-cap,nominal-model,false,false,62.90538022576044,10.550000000000015,true,5.399999999999989,0
27269,dust,no-speed-cap,extended-model,true,true,-0.14115148866477512,13.300000000000054,false,12.35000000000004,9.862933831382472
27269,dust,no-brake-bound,nominal-model,false,false,8.191207389798421,25.200000000000223,true,22.600000000000186,0
27269,dust,no-brake-bound,extended-model,false,false,7.688797827065912,25.300000000000225,true,22.600000000000186,0
27270,dust,baseline,nominal-model,false,false,8.174738657209616,10.600000000000016,true,6.0499999999999865,0
27270,dust,baseline,extended-model,false,false,8.65605393637236,10.500000000000014,true,6.0499999999999865,0
27270,dust,guarded,nominal-model,false,false,16.76859701820075,15.200000000000081,true,12.900000000000048,0
27270,dust,guarded,extended-model,false,false,16.92111087430311,15.15000000000008,true,12.900000000000048,0
27270,dust,no-speed-cap,nominal-model,false,false,42.23387860993455,7.7499999999999805,true,3.2499999999999964,0
27270,dust,no-speed-cap,extended-model,false,false,12.262613516259421,10.20000000000001,true,5.749999999999988,0
27270,dust,no-brake-bound,nominal-model,false,false,8.068597667537404,16.6500000000001,true,14.350000000000069,0
27270,dust,no-brake-bound,extended-model,false,false,8.22111149728778,16.6000000000001,true,14.350000000000069,0
27271,dust,baseline,nominal-model,false,false,8.570816476928599,13.150000000000052,true,8.899999999999991,0
27271,dust,baseline,extended-model,false,false,7.221754887428631,13.300000000000054,true,8.949999999999992,0
27271,dust,guarded,nominal-model,false,false,15.313193037132748,20.80000000000016,true,18.65000000000013,0
27271,dust,guarded,extended-model,false,false,15.086588510899787,20.85000000000016,true,18.65000000000013,0
27271,dust,no-speed-cap,nominal-model,false,false,36.18001625459675,10.85000000000002,true,6.5999999999999845,0
27271,dust,no-speed-cap,extended-model,false,false,7.221754887428631,13.300000000000054,true,8.949999999999992,0
27271,dust,no-brake-bound,nominal-model,false,false,8.11319303751327,22.000000000000178,true,19.850000000000147,0
27271,dust,no-brake-bound,extended-model,false,false,7.88658851130549,22.05000000000018,true,19.850000000000147,0
27272,dust,baseline,nominal-model,false,false,8.577150487747076,14.550000000000072,true,10.050000000000008,0
27272,dust,baseline,extended-model,false,true,0.9315176347474221,14.950000000000077,true,10.90000000000002,0
27272,dust,guarded,nominal-model,false,false,16.675030454947034,23.300000000000196,true,21.050000000000164,0
27272,dust,guarded,extended-model,false,false,17.29358222854512,23.150000000000194,true,21.100000000000165,0
27272,dust,no-speed-cap,nominal-model,false,false,42.17811289884719,11.750000000000032,true,7.249999999999982,0
27272,dust,no-speed-cap,extended-model,false,true,0.9315176347474221,14.950000000000077,true,10.90000000000002,0
27272,dust,no-brake-bound,nominal-model,false,false,8.27503045498463,24.700000000000216,true,22.450000000000184,0
27272,dust,no-brake-bound,extended-model,false,false,8.8935822285722,24.550000000000214,true,22.500000000000185,0
27273,dust,baseline,nominal-model,false,false,8.505798793868962,14.700000000000074,true,10.100000000000009,0
27273,dust,baseline,extended-model,false,false,7.775240017777833,14.600000000000072,true,10.350000000000012,0
27273,dust,guarded,nominal-model,false,false,17.450870802012332,23.300000000000196,true,21.000000000000163,0
27273,dust,guarded,extended-model,false,false,18.103870613660717,23.200000000000195,true,21.050000000000164,0
27273,dust,no-speed-cap,nominal-model,false,false,45.70617270652457,11.60000000000003,true,6.999999999999983,0
